taxpayer_id,industry,region,years_in_business,annual_turnover_£,vat_due_£,days_late_filing,days_late_payment,reported_turnover_£,filing_consistency_score,risk_flag,estimated_tax_gap_£
TX000044,Finance,London,9,84114.0,16823.0,1,1,84114.0,0.781521293376841,Normal,0.0
TX000045,Wholesale,London,13,637052.0,127410.0,0,2,637052.0,0.8659407203492075,Normal,0.0
TX000046,Transport,South,5,1756836.0,351367.0,1,1,1756836.0,0.6725246746939063,Normal,0.0
TX000047,Finance,West,3,138310.0,27662.0,0,0,138310.0,0.8958283012661838,Normal,0.0
TX000048,Retail,Wales,4,67235.0,13447.0,0,2,67235.0,0.8249319363742407,Normal,0.0
TX000049,Hospitality,Scotland,6,389248.0,77850.0,0,0,389248.0,0.7933848333778153,Normal,0.0
TX000050,Wholesale,London,3,1106262.0,221252.0,1,5,1106262.0,0.5727235239957231,Normal,0.0
TX000051,Wholesale,West,20,84181.0,16836.0,0,4,84181.0,0.8752000022034242,Normal,0.0
TX000052,Agriculture,London,9,264673.0,52935.0,9,1,264673.0,0.9658518072402146,Normal,0.0
TX000053,Finance,Wales,1,83270.0,16654.0,3,2,83270.0,0.7845451749404483,Normal,0.0
TX000054,Construction,Scotland,29,182354.0,36471.0,1,4,182354.0,0.6962678366431723,Normal,0.0
TX000055,Finance,Wales,9,1247711.0,249542.0,0,2,1247711.0,0.7642921726770714,Normal,0.0
TX000056,Transport,North,10,18543.0,3709.0,5,5,18543.0,0.8225208950814653,Normal,0.0
TX000057,Wholesale,South,15,1251893.0,250379.0,4,1,1251893.0,0.875158077082969,Normal,0.0
TX000058,Retail,Scotland,29,158297.0,31659.0,0,0,158297.0,0.6384082181082104,Normal,0.0
TX000059,Manufacturing,London,25,517257.0,103451.0,9,0,517257.0,0.8902776709917671,Normal,0.0
TX000060,Hospitality,London,30,227781.0,45556.0,0,1,227781.0,0.535921055304651,Normal,0.0
TX000061,Construction,Wales,21,299341.0,59868.0,1,1,299341.0,0.8438128912258943,Normal,0.0
TX000062,Manufacturing,Wales,21,4345730.0,869146.0,0,0,4345730.0,0.6247804002629629,Normal,0.0
TX000063,Finance,London,7,10773.0,2155.0,10,8,10773.0,0.6134718346008601,Normal,0.0
TX000064,Hospitality,East,25,42293.0,8459.0,7,3,42293.0,0.7636560879121409,Normal,0.0
TX000065,Hospitality,London,25,1491045.0,298209.0,8,4,1491045.0,0.909846244881368,Normal,0.0
TX000066,Finance,North,20,12460.0,2492.0,10,3,12460.0,0.9932243293204251,Normal,0.0
TX000067,Transport,West,1,42111.0,8422.0,0,4,42111.0,0.8163449074943117,Normal,0.0
TX000068,Construction,East,29,82860.0,16572.0,1,0,82860.0,0.9548215734809605,Normal,0.0
TX000069,Manufacturing,South,2,363392.0,72678.0,2,0,363392.0,0.9078775659177813,Normal,0.0
TX000070,Professional Services,London,3,954503.0,190901.0,2,1,954503.0,0.9218480332642277,Normal,0.0
TX000071,Construction,Scotland,16,108701.0,21740.0,4,1,108701.0,0.6606854885827051,Normal,0.0
TX000072,Construction,Wales,18,796225.0,159245.0,1,1,796225.0,0.6595235290853577,Normal,0.0
TX000073,Hospitality,South,22,6271.0,1254.0,1,1,6271.0,0.7070122319269116,Normal,0.0
TX000074,Agriculture,London,6,7323.0,1465.0,3,0,7323.0,0.9239561693572441,Normal,0.0
TX000075,Manufacturing,London,28,338240.0,67648.0,6,1,338240.0,0.6856929644375566,Normal,0.0
TX000076,Wholesale,South,30,73469.0,14694.0,0,0,73469.0,0.9316643950499172,Normal,0.0
TX000077,Finance,Wales,24,122113.0,24423.0,2,2,122113.0,0.7503971878238131,Normal,0.0
TX000078,Professional Services,Scotland,10,137518.0,27504.0,4,2,137518.0,0.8701405892490225,Normal,0.0
TX000079,Wholesale,Scotland,21,25795.0,5159.0,2,0,25795.0,0.9061475081964742,Normal,0.0
TX000080,Transport,West,29,386480.0,77296.0,2,1,386480.0,0.6549986422161858,Normal,0.0
TX000081,Finance,West,4,4084.0,817.0,0,0,4084.0,0.9059672468971148,Normal,0.0
TX000082,Professional Services,South,3,2044599.0,408920.0,4,1,2044599.0,0.5973170563374511,Normal,0.0
TX000083,Transport,North,19,745492.0,149098.0,1,0,745492.0,0.9253171514600904,Normal,0.0
TX000084,Finance,South,19,19973.0,3995.0,0,0,19973.0,0.8843445349884176,Normal,0.0
TX000085,Professional Services,North,3,87538.0,17508.0,0,4,87538.0,0.9061941386610889,Normal,0.0
TX000086,Retail,South,3,113729.0,22746.0,10,4,113729.0,0.8581238053995274,Normal,0.0
TX000087,Retail,Wales,11,73213.0,14643.0,7,1,73213.0,0.612804092419386,Normal,0.0
TX000088,Construction,London,8,51798.0,10360.0,2,0,51798.0,0.9081794106592852,Normal,0.0
TX000089,Manufacturing,Scotland,16,538533.0,107707.0,0,1,538533.0,0.7763286997327782,Normal,0.0
TX000090,Professional Services,London,5,736334.0,147267.0,0,2,736334.0,0.873285485296695,Normal,0.0
TX000091,Agriculture,South,26,6266773.0,1253355.0,1,5,6266773.0,0.897137390965522,Normal,0.0
TX000092,Agriculture,Wales,14,185328.0,37066.0,2,3,185328.0,0.8775301017791566,Normal,0.0
TX000093,Professional Services,North,4,393365.0,78673.0,0,3,393365.0,0.5845895970646761,Normal,0.0
TX000094,Wholesale,East,14,986404.0,197281.0,1,0,986404.0,0.6579774737811834,Normal,0.0
TX000095,Wholesale,West,28,45921.0,9184.0,0,4,45921.0,0.9872558728607878,Normal,0.0
TX000096,Retail,Scotland,21,17714.0,3543.0,0,3,17714.0,0.776445366938173,Normal,0.0
TX000097,Construction,North,13,184072.0,36814.0,0,0,184072.0,0.9283267353535656,Normal,0.0
TX000098,Transport,Wales,28,333858.0,66772.0,1,3,333858.0,0.6864325305415127,Normal,0.0
TX000099,Construction,South,7,83537.0,16707.0,0,2,83537.0,0.7159333694294426,Normal,0.0
TX000100,Professional Services,London,15,50987.0,10197.0,0,4,50987.0,0.860952070441472,Normal,0.0
TX000101,Hospitality,West,6,4979.0,996.0,0,1,4979.0,0.9004124734172017,Normal,0.0
TX000102,Manufacturing,West,8,191778.0,38356.0,3,5,191778.0,0.8305477851817215,Normal,0.0
TX000103,Construction,West,26,29448.0,5890.0,1,2,29448.0,0.7763562398696605,Normal,0.0
TX000104,Finance,North,2,176944.0,35389.0,2,1,176944.0,0.7622127267537835,Normal,0.0
TX000105,Finance,Wales,1,67901.0,13580.0,1,1,67901.0,0.8523641531204056,Normal,0.0
TX000106,Construction,Wales,28,98353.0,19671.0,0,1,98353.0,0.8889928625327893,Normal,0.0
TX000107,Professional Services,South,14,22500.0,4500.0,7,0,22500.0,0.7962466830487246,Normal,0.0
TX000108,Agriculture,West,7,108735.0,21747.0,0,11,108735.0,0.8421220683033867,Normal,0.0
TX000109,Wholesale,North,6,203604.0,40721.0,0,4,203604.0,0.854211808317732,Normal,0.0
TX000110,Wholesale,North,13,55867.0,11173.0,4,1,55867.0,0.9796071618675354,Normal,0.0
TX000111,Manufacturing,Wales,26,25312.0,5062.0,0,0,25312.0,0.8377559012605041,Normal,0.0
TX000112,Agriculture,East,14,662329.0,132466.0,0,0,662329.0,0.8673616382365493,Normal,0.0
TX000113,Finance,Scotland,23,133851.0,26770.0,3,0,133851.0,0.8511111173421314,Normal,0.0
TX000114,Agriculture,South,7,94708.0,18942.0,3,0,94708.0,0.9736693530240199,Normal,0.0
TX000115,Manufacturing,South,2,2296807.0,459361.0,5,0,2296807.0,0.9319047304115956,Normal,0.0
TX000116,Finance,North,24,23846.0,4769.0,2,1,23846.0,0.8068038456986388,Normal,0.0
TX000117,Transport,North,2,155370.0,31074.0,1,0,155370.0,0.9671707338490888,Normal,0.0
TX000118,Agriculture,London,30,210302.0,42060.0,12,1,210302.0,0.9567677069143009,Normal,0.0
TX000119,Finance,South,2,372427.0,74485.0,3,3,372427.0,0.7188487747047919,Normal,0.0
TX000120,Finance,North,28,10288.0,2058.0,2,0,10288.0,0.7869529598379246,Normal,0.0
TX000121,Hospitality,North,20,219221.0,43844.0,0,0,219221.0,0.9213149176303735,Normal,0.0
TX000122,Construction,Scotland,28,39179.0,7836.0,3,5,39179.0,0.8715506219986079,Normal,0.0
TX000123,Professional Services,West,4,16668.0,3334.0,2,1,16668.0,0.9252472901607559,Normal,0.0
TX000124,Professional Services,London,20,154433.0,30887.0,3,1,154433.0,0.850903963676418,Normal,0.0
TX000125,Retail,London,3,361817.0,72363.0,0,1,361817.0,0.8099000492729633,Normal,0.0
TX000126,Wholesale,Scotland,19,145561.0,29112.0,0,1,145561.0,0.7628228035156793,Normal,0.0
TX000127,Finance,East,30,411676.0,82335.0,3,3,411676.0,0.7658498453355407,Normal,0.0
TX000128,Manufacturing,South,22,222244.0,44449.0,2,4,222244.0,0.8644905698975499,Normal,0.0
TX000129,Transport,South,9,885231.0,177046.0,5,0,885231.0,0.8058593181524697,Normal,0.0
TX000130,Wholesale,South,22,81356.0,16271.0,0,0,81356.0,0.566675725251063,Normal,0.0
TX000131,Manufacturing,West,11,302203.0,60441.0,4,0,302203.0,0.6301650300737022,Normal,0.0
TX000132,Construction,North,15,618125.0,123625.0,0,4,618125.0,0.850310351481524,Normal,0.0
TX000133,Construction,North,18,1019432.0,203886.0,1,1,1019432.0,0.836864469435555,Normal,0.0
TX000134,Professional Services,London,9,1439889.0,287978.0,4,0,1439889.0,0.8922924832469653,Normal,0.0
TX000135,Hospitality,East,29,8951.0,1790.0,3,0,8951.0,0.5927820545828258,Normal,0.0
TX000136,Construction,South,12,118068.0,23614.0,1,1,118068.0,0.7050616711538974,Normal,0.0
TX000137,Manufacturing,South,15,74884.0,14977.0,0,3,74884.0,0.5900565606667671,Normal,0.0
TX000138,Finance,Scotland,10,69139.0,13828.0,0,3,69139.0,0.8654579756250019,Normal,0.0
TX000139,Finance,North,22,46158.0,9232.0,6,0,46158.0,0.797592786624997,Normal,0.0
TX000140,Finance,East,30,268790.0,53758.0,2,0,268790.0,0.8802220011588201,Normal,0.0
TX000141,Construction,South,9,46103.0,9221.0,0,2,46103.0,0.822855276605062,Normal,0.0
TX000142,Construction,North,24,967615.0,193523.0,2,3,967615.0,0.9528725452608363,Normal,0.0
TX000143,Finance,South,9,233289.0,46658.0,3,3,233289.0,0.7423062390805525,Normal,0.0
TX000144,Manufacturing,London,7,348332.0,69666.0,3,1,348332.0,0.7172842881423414,Normal,0.0
TX000145,Transport,South,22,93388.0,18678.0,4,0,93388.0,0.76613757514822,Normal,0.0
TX000146,Manufacturing,London,16,1107569.0,221514.0,1,1,1107569.0,0.8124577822663099,Normal,0.0
TX000147,Manufacturing,Wales,2,1532944.0,306589.0,0,2,1532944.0,0.8425034240329965,Normal,0.0
TX000148,Construction,Scotland,14,247343.0,49469.0,8,0,247343.0,0.7838022824546402,Normal,0.0
TX000149,Manufacturing,North,1,94425.0,18885.0,2,0,94425.0,0.8865551580474713,Normal,0.0
TX000150,Transport,Wales,5,286593.0,57319.0,0,0,286593.0,0.9762193272434416,Normal,0.0
TX000151,Manufacturing,South,24,12689.0,2538.0,17,1,12689.0,0.741295001419713,Normal,0.0
TX000152,Agriculture,London,23,76643.0,15329.0,0,0,76643.0,0.7372489004012979,Normal,0.0
TX000153,Wholesale,London,1,116586.0,23317.0,8,1,116586.0,0.8416696190620021,Normal,0.0
TX000154,Construction,North,29,113340.0,22668.0,0,0,113340.0,0.7295158664807198,Normal,0.0
TX000155,Hospitality,London,2,97298.0,19460.0,10,0,97298.0,0.7879986931819282,Normal,0.0
TX000156,Transport,London,18,426806.0,85361.0,0,0,426806.0,0.7563326102554625,Normal,0.0
TX000157,Hospitality,West,5,340138.0,68028.0,0,0,340138.0,0.531379633813119,Normal,0.0
TX000158,Retail,East,12,197236.0,39447.0,0,3,197236.0,0.8163718390766154,Normal,0.0
TX000159,Retail,East,7,156673.0,31335.0,1,1,156673.0,0.5874852773816932,Normal,0.0
TX000160,Professional Services,Scotland,4,38160.0,7632.0,0,8,38160.0,0.5152766321030771,Normal,0.0
TX000161,Transport,Wales,18,157329.0,31466.0,2,0,157329.0,0.9791119395900123,Normal,0.0
TX000162,Wholesale,London,24,36227.0,7245.0,2,2,36227.0,0.8619582955692521,Normal,0.0
TX000163,Hospitality,South,28,83494.0,16699.0,3,2,83494.0,0.8904960833618136,Normal,0.0
TX000164,Hospitality,Wales,26,623304.0,124661.0,1,3,623304.0,0.8401943909084781,Normal,0.0
TX000165,Hospitality,West,1,676859.0,135372.0,1,2,676859.0,0.8749976112021834,Normal,0.0
TX000166,Hospitality,Scotland,30,61259.0,12252.0,6,0,61259.0,0.9068002843781658,Normal,0.0
TX000167,Transport,Wales,30,73574.0,14715.0,3,1,73574.0,0.8547842397932086,Normal,0.0
TX000168,Wholesale,Wales,22,172302.0,34460.0,0,2,172302.0,0.695194587030722,Normal,0.0
TX000169,Professional Services,East,6,137847.0,27569.0,4,1,137847.0,0.9221561484868235,Normal,0.0
TX000170,Construction,West,28,227904.0,45581.0,1,2,227904.0,0.9713859417973155,Normal,0.0
TX000171,Retail,Wales,16,68930.0,13786.0,7,0,68930.0,0.7507319936312482,Normal,0.0
TX000172,Professional Services,South,27,341480.0,68296.0,0,0,341480.0,0.7986492952426998,Normal,0.0
TX000173,Agriculture,East,10,105110.0,21022.0,0,4,105110.0,0.8896654607290456,Normal,0.0
TX000174,Professional Services,South,1,30348.0,6070.0,101,83,13615.0,0.16160393236431145,Suspicious Pattern,3346.0
TX000175,Professional Services,West,11,15775.0,3155.0,0,0,15775.0,0.6768394172684666,Normal,0.0
TX000176,Manufacturing,Wales,3,77603.0,15521.0,0,1,77603.0,0.6960311217222477,Normal,0.0
TX000177,Manufacturing,East,21,579904.0,115981.0,1,3,579904.0,0.7738755291531432,Normal,0.0
TX000178,Finance,West,22,232858.0,46572.0,0,0,232858.0,0.8937645367792573,Normal,0.0
TX000179,Finance,East,1,133736.0,26747.0,8,0,133736.0,0.6200521713642775,Normal,0.0
TX000180,Construction,East,6,273685.0,54737.0,2,1,273685.0,0.7102193100463202,Normal,0.0
TX000181,Manufacturing,North,4,39827.0,7965.0,3,7,39827.0,0.906953491619912,Normal,0.0
TX000182,Wholesale,East,24,2873516.0,574703.0,0,2,2873516.0,0.565650604938268,Normal,0.0
TX000183,Transport,West,20,83002.0,16600.0,8,2,83002.0,0.7488295528607523,Normal,0.0
TX000184,Finance,North,13,29304.0,5861.0,3,0,29304.0,0.8880411077210492,Normal,0.0
TX000185,Professional Services,East,2,379498.0,75900.0,1,0,379498.0,0.7723180360554255,Normal,0.0
TX000186,Wholesale,North,17,465915.0,93183.0,1,3,465915.0,0.9238171617299695,Normal,0.0
TX000187,Finance,Scotland,24,23932.0,4786.0,3,0,23932.0,0.8030472049174885,Normal,0.0
TX000188,Professional Services,East,14,22368.0,4474.0,0,1,22368.0,0.7098909298401512,Normal,0.0
TX000189,Construction,Scotland,30,177853.0,35571.0,1,0,177853.0,0.9623350626774791,Normal,0.0
TX000190,Transport,London,11,13793.0,2759.0,2,1,13793.0,0.7935578218326639,Normal,0.0
TX000191,Construction,Scotland,29,111410.0,22282.0,7,0,111410.0,0.9100249949323661,Normal,0.0
TX000192,Manufacturing,London,10,106829.0,21366.0,0,0,106829.0,0.9151873949624424,Normal,0.0
TX000193,Wholesale,East,13,1578170.0,315634.0,0,1,1578170.0,0.8013286160714252,Normal,0.0
TX000194,Manufacturing,London,5,38081.0,7616.0,2,2,38081.0,0.917937020152376,Normal,0.0
TX000195,Professional Services,West,22,1323939.0,264788.0,2,0,1323939.0,0.8030595689966855,Normal,0.0
TX000196,Wholesale,Scotland,24,367672.0,73534.0,6,0,367672.0,0.9490172640112206,Normal,0.0
TX000197,Hospitality,London,19,107690.0,21538.0,0,3,107690.0,0.8832400238607369,Normal,0.0
TX000198,Manufacturing,West,18,1057706.0,211541.0,0,1,1057706.0,0.9674733619329056,Normal,0.0
TX000199,Retail,East,10,95687.0,19137.0,85,60,54817.0,0.2880604269037341,Suspicious Pattern,8173.0
TX000200,Professional Services,West,26,4482917.0,896583.0,1,1,4482917.0,0.8374147387610317,Normal,0.0
TX000201,Transport,West,15,18893.0,3779.0,3,2,18893.0,0.6619273778612843,Normal,0.0
TX000202,Agriculture,Scotland,7,68015.0,13603.0,0,0,68015.0,0.8568759651714187,Normal,0.0
TX000203,Finance,West,26,171132.0,34226.0,0,1,171132.0,0.7423983188654222,Normal,0.0
TX000204,Hospitality,Scotland,3,1026334.0,205267.0,15,2,1026334.0,0.7795066270774129,Normal,0.0
TX000205,Manufacturing,London,22,2170028.0,434006.0,2,6,2170028.0,0.9261427478024327,Normal,0.0
TX000206,Transport,North,27,137745.0,27549.0,4,0,137745.0,0.8355429111655671,Normal,0.0
TX000207,Professional Services,Scotland,10,19718.0,3944.0,14,5,19718.0,0.8614255112203326,Normal,0.0
TX000208,Professional Services,Wales,7,217091.0,43418.0,0,3,217091.0,0.9155174786312,Normal,0.0
TX000209,Hospitality,North,2,42847.0,8569.0,0,5,42847.0,0.6003396528882278,Normal,0.0
TX000210,Professional Services,West,20,291521.0,58304.0,7,1,291521.0,0.7396793190822567,Normal,0.0
TX000211,Construction,West,14,84298.0,16860.0,6,4,84298.0,0.9233139521983339,Normal,0.0
TX000212,Professional Services,Scotland,23,720761.0,144152.0,1,0,720761.0,0.562260786712932,Normal,0.0
TX000213,Wholesale,West,13,116108.0,23222.0,5,5,116108.0,0.6629438757456828,Normal,0.0
TX000214,Professional Services,South,21,375764.0,75153.0,2,1,375764.0,0.906930512648554,Normal,0.0
TX000215,Retail,Wales,28,348585.0,69717.0,1,0,348585.0,0.9151984253925102,Normal,0.0
TX000216,Construction,Wales,14,131120.0,26224.0,0,1,131120.0,0.7001579885213998,Normal,0.0
TX000217,Professional Services,South,26,57931.0,11586.0,15,0,57931.0,0.8829452177614194,Normal,0.0
TX000218,Finance,West,2,103393.0,20679.0,0,1,103393.0,0.5692482792797718,Normal,0.0
TX000219,Finance,South,30,33997.0,6799.0,6,1,33997.0,0.9261332701088623,Normal,0.0
TX000220,Construction,West,5,10906.0,2181.0,3,2,10906.0,0.8393496861345788,Normal,0.0
TX000221,Agriculture,Scotland,17,594009.0,118802.0,0,1,594009.0,0.7747900091743245,Normal,0.0
TX000222,Finance,London,11,388069.0,77614.0,2,1,388069.0,0.7487808932732991,Normal,0.0
TX000223,Agriculture,London,27,5146.0,1029.0,1,1,5146.0,0.8732334483873764,Normal,0.0
TX000224,Finance,West,27,774410.0,154882.0,1,0,774410.0,0.7013534827631972,Normal,0.0
TX000225,Finance,West,29,246426.0,49285.0,2,0,246426.0,0.812305888697666,Normal,0.0
TX000226,Hospitality,Scotland,28,58890.0,11778.0,3,0,58890.0,0.8792348435658023,Normal,0.0
TX000227,Agriculture,West,9,48838.0,9768.0,1,0,48838.0,0.9482059028869768,Normal,0.0
TX000228,Professional Services,Wales,21,364025.0,72805.0,0,2,364025.0,0.6492100297071558,Normal,0.0
TX000229,Manufacturing,Wales,25,404617.0,80923.0,1,0,404617.0,0.7467130600825846,Normal,0.0
TX000230,Finance,West,21,374874.0,74975.0,2,0,374874.0,0.7038664462819795,Normal,0.0
TX000231,Professional Services,East,15,45225.0,9045.0,1,5,45225.0,0.9306193365730423,Normal,0.0
TX000232,Construction,Scotland,10,8523.0,1705.0,2,5,8523.0,0.8340255753396791,Normal,0.0
TX000233,Professional Services,East,11,21789.0,4358.0,5,3,21789.0,0.8777428729386539,Normal,0.0
TX000234,Transport,London,3,248667.0,49733.0,266,305,57571.0,0.028032836246243545,Potential Under-Reporting,38219.0
TX000235,Hospitality,South,8,265511.0,53102.0,8,0,265511.0,0.7759712848142091,Normal,0.0
TX000236,Wholesale,Scotland,5,61265.0,12253.0,0,1,61265.0,0.7659607543823123,Normal,0.0
TX000237,Professional Services,North,14,9426.0,1885.0,2,2,9426.0,0.666394797220507,Normal,0.0
TX000238,Wholesale,East,18,446758.0,89352.0,1,0,446758.0,0.932875147552459,Normal,0.0
TX000239,Agriculture,West,2,1123516.0,224703.0,0,1,1123516.0,0.9225281871019355,Normal,0.0
TX000240,Professional Services,Wales,14,317078.0,63416.0,4,1,317078.0,0.87650494469592,Normal,0.0
TX000241,Wholesale,Wales,19,47773.0,9555.0,3,4,47773.0,0.8831651289206337,Normal,0.0
TX000242,Retail,Wales,29,11600.0,2320.0,0,1,11600.0,0.9168737418164542,Normal,0.0
TX000243,Wholesale,West,1,4508059.0,901612.0,0,1,4508059.0,0.5341790133913372,Normal,0.0
TX000244,Transport,East,25,997043.0,199409.0,4,0,997043.0,0.656571049043993,Normal,0.0
TX000245,Wholesale,Wales,29,867918.0,173584.0,3,3,867918.0,0.9113027499547467,Normal,0.0
TX000246,Wholesale,London,24,121724.0,24345.0,1,0,121724.0,0.8250644148450105,Normal,0.0
TX000247,Finance,Wales,20,386597.0,77319.0,3,3,386597.0,0.9086356322628163,Normal,0.0
TX000248,Professional Services,West,8,2749362.0,549872.0,0,0,2749362.0,0.922496505661259,Normal,0.0
TX000249,Manufacturing,West,16,517704.0,103541.0,1,5,517704.0,0.9500100422082393,Normal,0.0
TX000250,Retail,West,11,351653.0,70331.0,1,1,351653.0,0.76350344226467,Normal,0.0
TX000251,Wholesale,Scotland,6,92256.0,18451.0,1,2,92256.0,0.7226236894753596,Normal,0.0
TX000252,Agriculture,South,20,513559.0,102712.0,9,0,513559.0,0.9432568821568125,Normal,0.0
TX000253,Finance,North,30,42673.0,8535.0,7,0,42673.0,0.9266493091782665,Normal,0.0
TX000254,Wholesale,London,19,157621.0,31524.0,60,86,73982.0,0.17759253091754226,Suspicious Pattern,16727.0
TX000255,Retail,North,21,29836.0,5967.0,1,4,29836.0,0.7640435378273268,Normal,0.0
TX000256,Wholesale,South,28,15618.0,3124.0,3,7,15618.0,0.9123126354906416,Normal,0.0
TX000257,Agriculture,South,2,381011.0,76202.0,1,7,381011.0,0.5221405295253777,Normal,0.0
TX000258,Manufacturing,West,11,54074.0,10815.0,5,1,54074.0,0.8109638145156104,Normal,0.0
TX000259,Professional Services,West,11,204531.0,40906.0,113,66,120132.0,0.2946533419465965,Suspicious Pattern,16879.0
TX000260,Transport,Wales,29,631531.0,126306.0,1,2,631531.0,0.7687210189160869,Normal,0.0
TX000261,Wholesale,East,25,61644.0,12329.0,4,0,61644.0,0.8703535383493599,Normal,0.0
TX000262,Wholesale,East,27,38949.0,7790.0,2,0,38949.0,0.7351434039583654,Normal,0.0
TX000263,Construction,West,1,148514.0,29703.0,7,1,148514.0,0.7359176850897305,Normal,0.0
TX000264,Finance,North,12,52697.0,10539.0,1,2,52697.0,0.6519465911699618,Normal,0.0
TX000265,Professional Services,Scotland,3,967256.0,193451.0,1,4,967256.0,0.7957809487097348,Normal,0.0
TX000266,Retail,Wales,1,45728.0,9146.0,1,3,45728.0,0.7456825678082334,Normal,0.0
TX000267,Professional Services,South,27,71699.0,14340.0,6,2,71699.0,0.5132433099508081,Normal,0.0
TX000268,Retail,London,5,32817.0,6563.0,6,3,32817.0,0.8460768927840466,Normal,0.0
TX000269,Professional Services,South,16,911731.0,182346.0,0,4,911731.0,0.7687129812388771,Normal,0.0
